LOC_PID,NSW_LOCA_2,LGA_NAME16,Split_id,merge_id,Pop_2016,Pop_BuildO,LGA_CODE16,TZ16_CODE,Precinct,Sub-precin,Area,layer,path
,,Blacktown (C),,680,4926,6699,10750,,,,Prospect - Huntingwood - Arndell Park,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,703,1992,4143,10750,,,,Colebee,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,702,27900,33431,10750,,,,Quakers Hill,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,662,5765,5936,10750,,,,Minchinbury,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,664,17219,21860,10750,,,,Mount Druitt,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,1002,9627,9900,10750,,,,Kings Langley,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,1029,19950,20223,10750,,,,Stanhope Gardens - Kellyville Ridge,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,1028,3581,3804,10750,,,,Kings Park,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,1027,5857,5765,10750,,,,Hebersham,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,972,15896,19023,10750,,,,Rooty Hill - Eastern Creek,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,1060,7799,8403,10750,,,,Lalor Park,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,872,6694,6519,10750,,,,Woodcroft,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,901,5127,5690,10750,,,,Toongabbie,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,898,2315,2492,10750,,,,Emerton,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,897,4633,4941,10750,,,,Hassall Grove,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,853,6356,6680,10750,,,,Ropes Crossing,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,1230,7492,7694,10750,,,,Acacia Gardens - Parklea,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,1329,10164,9872,10750,,,,The Ponds,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,1149,4012,4235,10750,,,,Tregear,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,1112,16652,17299,10750,,,,Glenwood,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,301,20095,23836,10750,,,,Seven Hills,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,173,6163,6265,10750,,,,Whalan,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,141,2851,2898,10750,,,,Dharruk,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,489,3312,3390,10750,,,,Dean Park,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,518,2743,2594,10750,,,,Bungarribee,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,531,13973,16232,10750,,,,Doonside,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,541,16943,130182,10750,,,,Marsden Park - Shanes Park - Riverstone - Schofields,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,354,3541,3734,10750,,,,Blackett,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,397,5290,5056,10750,,,,Glendenning,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,761,2503,2597,10750,,,,Willmot,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,724,4406,4608,10750,,,,Bidwill,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,722,9453,11537,10750,,,,Plumpton,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,801,7906,8615,10750,,,,Marayong,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,626,3559,3460,10750,,,,Shalvey,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,625,4886,5293,10750,,,,Lethbridge Park,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,634,48854,62780,10750,,,,Blacktown,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blacktown (C),,604,7157,7594,10750,,,,Oakhurst,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,967,5058,5145,10900,,,,Hazelbrook,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,1049,6248,6559,10900,,,,Wentworth Falls,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,1277,5883,6300,10900,,,,Blackheath - Western Townships,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,1240,6172,6226,10900,,,,Glenbrook - Lapstone,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,1126,2478,2664,10900,,,,Woodford - Linden,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,239,3902,4158,10900,,,,Lawson - Bullaburra,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,238,4783,5082,10900,,,,Leura,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,106,8830,10481,10900,,,,Katoomba - Medlow Bath,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,526,2454,2305,10900,,,,Warrimoo,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,524,7653,8185,10900,,,,Blaxland,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,432,3094,3082,10900,,,,Mount Riverview,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,731,7857,8015,10900,,,,Winmalee - Yellow Rock,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,629,10158,10576,10900,,,,Springwood - Valley Heights,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Blue Mountains (C),,628,4137,4065,10900,,,,Faulconbridge,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Botany Bay (C),,,7,170,11100,400,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,14,22,11100,401,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,0,0,11100,402,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,2497,4521,11100,405,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,2947,4390,11100,406,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,781,1152,11100,407,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,5056,12257,11100,408,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,4,11,11100,409,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,99,270,11100,410,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,6355,17382,11100,411,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,2913,5739,11100,412,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,3947,5882,11100,413,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,2741,6846,11100,414,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,2825,3975,11100,415,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,2874,6106,11100,416,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,3002,4757,11100,417,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,844,2109,11100,418,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,1261,1422,11100,420,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,1418,2534,11100,421,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,2543,4761,11100,422,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,0,793,11100,423,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,3079,4630,11100,424,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,3557,4825,11100,425,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,0,1331,11100,426,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,31,61,11100,433,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Botany Bay (C),,,3,5,11100,435,OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
,,Burwood (A),,1265,2940,2905,11300,,,,Enfield,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Burwood (A),,21,5847,7046,11300,,,,Croydon Park,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Burwood (A),,183,22046,29415,11300,,,,Burwood - Strathfield (Burwood LGA),Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Burwood (A),,147,7662,7878,11300,,,,Croydon - Burwood Heights,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Camden (A),,1284,4392,11306,11450,,,,Spring Farm,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Camden (A),,1220,5428,5212,11450,,,,Currans Hill,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Camden (A),,1178,11012,93991,11450,,,,Catherine Field - Leppington - Gledswood Hills - Gregory Hills,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Camden (A),,135,9936,70791,11450,,,,Grasmere - Ellis Lane - Cawdor - Bickley Vale - Cobbitty Hills - Oran Park - Bringelly - Rossmore,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Camden (A),,163,7942,8695,11450,,,,Camden,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Camden (A),,498,6200,7267,11450,,,,Elderslie,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Camden (A),,441,7381,6713,11450,,,,Narellan Vale,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Camden (A),,416,11968,10642,11450,,,,Mount Annan,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Camden (A),,723,12461,13359,11450,,,,Harrington Park - Kirkham,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Camden (A),,714,3756,5320,11450,,,,Narellan - Smeaton Grange,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Campbelltown (C) (NSW),,695,2724,4310,11500,,,,Claymore,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Campbelltown (C) (NSW),,655,5968,6581,11500,,,,Eagle Vale,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Campbelltown (C) (NSW),,1080,1676,3917,11500,,,,Bardia,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Campbelltown (C) (NSW),,886,2818,2724,11500,,,,Kearns,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Campbelltown (C) (NSW),,884,2660,2665,11500,,,,Eschol Park,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Campbelltown (C) (NSW),,856,3240,7534,11500,,,,Woodbine - Blairmount,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Campbelltown (C) (NSW),,936,7532,7264,11500,,,,St Andrews - Bow Bowing,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Campbelltown (C) (NSW),,57,6109,5962,11500,,,,Raby,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Campbelltown (C) (NSW),,243,2955,2851,11500,,,,Blair Athol,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
,,Campbelltown (C) (NSW),,261,9931,24880,11500,,,,Glenfield,Fid_ControlTotals_filtered,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/Fid_ControlTotals_filtered.shp|layername=Fid_ControlTotals_filtered
